Major Group,Order,Family,Accepted name (per World Flora Online–www.worldfloraonline.org),xylary_g-fibers,"Field of View (exclusively xylem, vascular bundles, or whole section with the cortex, pericycle, phloem, and xylem visible)",Location of g-fibers,Mechanism
Eudicots,Ranunculales,Menispermaceae ,Abuta colombiana Moldenke,present,xylem,xylem,stem-twiner
Asterids ,Ericales,Actinidiaceae,Actinidia chinensis Planch.,absent,xylem,NA,stem-twiner
Asterids ,Ericales,Actinidiaceae,Actinidia polygama (Siebold & Zucc.) Maxim.,present,xylem,xylem,stem-twiner
Rosids II,Myrtales,Melastomataceae ,Adelobotrys adscendens (Sw.) Triana,present,whole stem,xylem,root-climber
Eudicots,Myrtales,Melastomataceae,Adelobotrys macrantha Gleason,absent,xylem,NA,root-climber
Rosids I,Malpighiales,Passifloraceae,Adenia aculeata (Oliv.) Engl.,absent,xylem,NA,tendril-climber
Asterids I,Lamiales,Bignoniaceae ,Adenocalymma comosum (Cham.) DC.,absent,xylem,NA,tendril-climber
Rosids I,Malpighiales,Malpighiaceae,Aenigmatanthera lasiandra (A.Juss.) W.R.Anderson,present,whole section,xylem,stem-twiner
Asterids I,Caryophyllales,Phytolaccaceae,Agdestis clematidea Moc. & Sessé ex DC.,absent,whole section,NA,stem-twiner
Eudicots,Ranunculales,Lardizabalaceae,Akebia quinata (Houtt.) Decne.,absent,whole section,NA,stem-twiner
Rosids I,Malpighiales,Malpighiaceae,Alicia anisopetala (A.Juss.) W.R.Anderson,absent,whole section,pericycle,stem-twiner
Rosids,Vitales,Vitaceae ,Ampelopsis glandulosa (Wall.) Momiy.,absent,xylem,NA,tendril-climber
Asterids I,Lamiales,Bignoniaceae ,Amphilophium crucigerum (L.) L.G.Lohmann,absent,xylem,NA,tendril-climber
Rosids I,Malpighiales,Violaceae,Anchietea A.St.-Hil.,present,xylem,xylem,stem-twiner
Asterids,Caryophyllales,Polygonaceae ,Antigonon leptopus Hook. & Arn.,absent,whole section,NA,tendril-climber
Magnoliids,Piperales,Aristolochiaceae,Aristolochia labiata Willd.,absent,whole section,NA,stem-twiner
ANA grade,Austrobaileyales,Austrobaileyaceae,Austrobaileya scandens C.T.White,absent,xylem,NA,stem-twiner
Rosids I,Malpighiales,Malpighiaceae,Banisteriopsis muricata (Cav.) Cuatrec.,present,whole section,xylem,stem-twiner
Rosids I,Malpighiales,Malpighiaceae,Barnebya harleyi W.R.Anderson & B.Gates,absent,xylem,NA,stem-twiner
Rosids I,Fabales,Fabaceae ,Bauhinia glabra Jacq. (Acevedo et al. 2015-onwards use Schnella glabra (Jacq.) Dugand),present,whole section,"pericycle, phloem, xylem",stem-twiner
Asterids I,Lamiales,Begoniaceae ,Begonia fruticosa (Klotzsch) A.DC.,absent,whole stem,NA,root-climber
Rosids I,Rosales,Rhamnaceae,"Berchemia scandens (Hill) K.Koch	",present,whole section,xylem,stem-twiner
Asterids I,Lamiales,Bignoniaceae ,Bignonia magnifica W.Bull,absent,xylem,NA,tendril-climber
Eudicots,Myrtales,Melastomataceae,Blakea quadrangularis Triana,present,xylem,xylem,root-climber
Monocots,Liliales,Alstroemeriaceae,Bomarea edulis (Tussac) Herb.,absent,whole section,NA,stem-twiner
Rosids I,Malpighiales,Malpighiaceae,Bronwenia acapulcensis (Rose) W.R.Anderson & C.Davis,absent,whole section,NA,stem-twiner
Rosids I,Malpighiales,Malpighiaceae,Callaeum psilophyllum (A.Juss.) D.M.Johnson,present,whole section,xylem,stem-twiner
Rosids I,Malpighiales,Violaceae,Calyptrion Ging.,present,xylem,xylem,stem-twiner
Asterids I,Lamiales,Bignoniaceae,Campsis radicans (L.) Seem.,absent,xylem,NA,root-climber
Rosids II,Sapindales,Sapindaceae ,Cardiospermum corindum L.,absent,xylem,NA,tendril-climber
Asterids I,Gentianales,Rubiaceae,Chiococca alba (L.) Hitchc.,absent,xylem,NA,stem-twiner
